t,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,
0,1.59016,-0.506723,0.994047,2.99691,0.00263702,-2.97765,
0.0642652,1.59014,-0.504668,0.994041,2.99694,0.00263684,-2.97887,
0.093089,1.59012,-0.502613,0.994036,2.99701,0.00263628,-2.98005,
0.132668,1.5901,-0.500558,0.994031,2.99712,0.00263535,-2.98117,
0.159696,1.59007,-0.498503,0.994026,2.99729,0.00263405,-2.98225,
0.18607,1.59005,-0.496448,0.994022,2.9975,0.00263237,-2.98327,
0.222834,1.59002,-0.494394,0.994018,2.99775,0.00263032,-2.98425,
0.250696,1.58998,-0.492339,0.994015,2.99805,0.0026279,-2.98518,
0.282935,1.58995,-0.490284,0.994011,2.9984,0.00262511,-2.98605,
0.30773,1.58991,-0.48823,0.994009,2.9988,0.00262194,-2.98688,
0.332826,1.58987,-0.486175,0.994006,2.99924,0.00261841,-2.98766,
0.352411,1.58983,-0.48412,0.994004,2.99973,0.00261449,-2.98839,
0.368695,1.58979,-0.482066,0.994002,3.00027,0.00261021,-2.98908,
0.382801,1.58974,-0.480011,0.994,3.00085,0.00260555,-2.98971,
0.396678,1.58969,-0.477956,0.993999,3.00148,0.00260052,-2.99029,
0.412574,1.58964,-0.475902,0.993998,3.00215,0.00259511,-2.99083,
0.430861,1.58959,-0.473847,0.993997,3.00287,0.00258933,-2.99131,
0.447291,1.58953,-0.471793,0.993997,3.00364,0.00258318,-2.99175,
0.464477,1.58947,-0.469738,0.993997,3.00446,0.00257665,-2.99214,
0.484223,1.58941,-0.467683,0.993997,3.00532,0.00256974,-2.99248,
0.501561,1.58935,-0.465629,0.993998,3.00623,0.00256246,-2.99277,
0.51927,1.58928,-0.463574,0.993999,3.00718,0.0025548,-2.99301,
0.539691,1.58921,-0.46152,0.994,3.00818,0.00254677,-2.9932,
0.557398,1.58914,-0.459465,0.994001,3.00923,0.00253836,-2.99334,
0.575233,1.58907,-0.457411,0.994002,3.01032,0.00252958,-2.99344,
0.595808,1.589,-0.455357,0.994004,3.01147,0.00252042,-2.99348,
0.613818,1.58892,-0.453303,0.994006,3.01265,0.00251088,-2.99348,
0.633201,1.58884,-0.451249,0.994009,3.01389,0.00250096,-2.99343,
0.656973,1.58876,-0.449195,0.994011,3.01517,0.00249067,-2.99333,
0.677084,1.58867,-0.447141,0.994014,3.0165,0.00248,-2.99318,
0.698275,1.58859,-0.445088,0.994017,3.01787,0.00246895,-2.99298,
0.725594,1.5885,-0.443034,0.99402,3.01929,0.00245752,-2.99274,
0.747603,1.58841,-0.440981,0.994023,3.02076,0.00244572,-2.99244,
0.768362,1.58831,-0.438928,0.994027,3.02227,0.00243353,-2.9921,
0.793469,1.58821,-0.436874,0.99403,3.02383,0.00242097,-2.99171,
0.814181,1.58812,-0.434821,0.994034,3.02544,0.00240803,-2.99127,
0.831303,1.58802,-0.432768,0.994038,3.02709,0.00239471,-2.99079,
0.846648,1.58791,-0.430715,0.994042,3.02879,0.00238101,-2.99026,
0.862636,1.58781,-0.428663,0.994046,3.03054,0.00236693,-2.98967,
0.882045,1.5877,-0.42661,0.994051,3.03233,0.00235247,-2.98905,
0.905815,1.58759,-0.424557,0.994055,3.03417,0.00233763,-2.98837,
0.926643,1.58747,-0.422505,0.994059,3.03606,0.00232242,-2.98765,
0.945507,1.58736,-0.420453,0.994064,3.03799,0.00230682,-2.98688,
0.962673,1.58724,-0.4184,0.994068,3.03996,0.00229085,-2.98606,
0.981234,1.58712,-0.416348,0.994073,3.04199,0.00227449,-2.9852,
1.00261,1.587,-0.414297,0.994078,3.04405,0.00225776,-2.98429,
1.02276,1.58687,-0.412245,0.994082,3.04617,0.00224065,-2.98334,
1.04658,1.58675,-0.410193,0.994087,3.04833,0.00222316,-2.98233,
1.07687,1.58662,-0.408142,0.994091,3.05053,0.00220529,-2.98129,
1.10343,1.58649,-0.406091,0.994096,3.05278,0.00218704,-2.9802,
1.13168,1.58635,-0.40404,0.9941,3.05508,0.00216842,-2.97906,
1.15633,1.58621,-0.401989,0.994105,3.05742,0.00214943,-2.97788,
1.18424,1.58608,-0.399938,0.994109,3.05981,0.00213005,-2.97665,
1.22091,1.58593,-0.397887,0.994113,3.06224,0.0021103,-2.97538,
1.25214,1.58579,-0.395837,0.994117,3.06471,0.00209018,-2.97406,
1.28838,1.58565,-0.393786,0.994121,3.06723,0.00206969,-2.9727,
1.31766,1.5855,-0.391736,0.994125,3.06979,0.00204882,-2.9713,
1.3474,1.58535,-0.389686,0.994128,3.0724,0.00202758,-2.96985,
1.3853,1.58519,-0.387636,0.994132,3.07505,0.00200597,-2.96837,
1.41434,1.58504,-0.385587,0.994135,3.07775,0.001984,-2.96684,
1.4382,1.58488,-0.383537,0.994138,3.08048,0.00196166,-2.96526,
1.46525,1.58472,-0.381488,0.994141,3.08327,0.00193895,-2.96365,
1.49897,1.58456,-0.379439,0.994143,3.08609,0.00191587,-2.96199,
1.52713,1.58439,-0.37739,0.994145,3.08896,0.00189244,-2.9603,
1.55404,1.58423,-0.375341,0.994147,3.09186,0.00186864,-2.95856,
1.58614,1.58406,-0.373293,0.994148,3.09481,0.00184448,-2.95679,
1.61744,1.58389,-0.371244,0.994149,3.0978,0.00181997,-2.95497,
1.65485,1.58371,-0.369196,0.99415,3.10084,0.0017951,-2.95312,
1.68546,1.58354,-0.367148,0.994151,3.10391,0.00176988,-2.95122,
1.71502,1.58336,-0.365101,0.99415,3.10702,0.00174431,-2.94929,
1.75036,1.58318,-0.363053,0.99415,3.11018,0.0017184,-2.94733,
1.78003,1.583,-0.361005,0.994149,3.11337,0.00169214,-2.94532,
1.80896,1.58281,-0.358958,0.994148,3.1166,0.00166554,-2.94329,
1.84481,1.58263,-0.356911,0.994146,3.11987,0.0016386,-2.94121,
1.88265,1.58244,-0.354864,0.994143,3.12318,0.00161132,-2.9391,
1.93272,1.58225,-0.352818,0.99414,3.12653,0.00158371,-2.93696,
1.97085,1.58205,-0.350771,0.994137,3.12991,0.00155577,-2.93478,
2.00868,1.58186,-0.348725,0.994133,3.13333,0.00152751,-2.93257,
2.05034,1.58166,-0.346679,0.994128,3.13679,0.00149893,-2.93033,
2.11195,1.58146,-0.344634,0.994123,3.14028,0.00147004,-2.92806,
2.15124,1.58126,-0.342588,0.994117,0.00221061,3.14015,0.215839,
2.18172,1.58105,-0.340543,0.99411,0.0057708,3.14018,0.218172,
2.21744,1.58085,-0.338497,0.994103,0.00936502,3.14021,0.220534,
2.25445,1.58064,-0.336452,0.994095,0.0129923,3.14024,0.222925,
2.30109,1.58043,-0.334407,0.994086,0.0166519,3.14027,0.225343,
2.33722,1.58022,-0.332363,0.994076,0.0203428,3.1403,0.227787,
2.37147,1.58,-0.330319,0.994066,0.024064,3.14033,0.230257,
2.4133,1.57979,-0.328274,0.994055,0.0278165,3.14036,0.232752,
2.44651,1.57957,-0.32623,0.994043,0.0315973,3.1404,0.235271,
2.476,1.57935,-0.324187,0.99403,0.0354065,3.14043,0.237812,
2.51109,1.57913,-0.322144,0.994017,0.0392439,3.14046,0.240376,
2.55029,1.5789,-0.3201,0.994002,0.0431087,3.14049,0.242962,
2.60206,1.57868,-0.318057,0.993987,0.0469998,3.14052,0.245567,
2.64344,1.57845,-0.316015,0.993971,0.0509152,3.14056,0.248192,
2.68889,1.57822,-0.313972,0.993954,0.0548552,3.14059,0.250835,
2.7244,1.57799,-0.31193,0.993935,0.058819,3.14062,0.253495,
2.75903,1.57776,-0.309888,0.993916,0.0628056,3.14066,0.256172,
2.80117,1.57752,-0.307846,0.993896,0.066814,3.14069,0.258865,
2.83589,1.57729,-0.305804,0.993875,0.0708434,3.14073,0.261571,
2.87097,1.57705,-0.303762,0.993853,0.0748928,3.14076,0.264292,
2.91425,1.57681,-0.301721,0.99383,0.0789606,3.14079,0.267024,
2.94854,1.57657,-0.29968,0.993806,0.0830459,3.14083,0.269768,
2.97893,1.57632,-0.297639,0.993781,0.0871479,3.14086,0.272521,
3.01819,1.57608,-0.295598,0.993754,0.0912655,3.1409,0.275284,
3.07573,1.57583,-0.293558,0.993727,0.0953978,3.14093,0.278054,
3.11646,1.57559,-0.291518,0.993698,0.0995437,3.14097,0.280832,
3.15225,1.57534,-0.289478,0.993669,0.103702,3.141,0.283615,
3.1949,1.57509,-0.287437,0.993638,0.107873,3.14104,0.286403,
3.2303,1.57484,-0.285398,0.993606,0.112053,3.14107,0.289195,
3.26758,1.57458,-0.283358,0.993573,0.116243,3.14111,0.29199,
3.31541,1.57433,-0.281318,0.993539,0.120441,3.14115,0.294786,
3.35432,1.57408,-0.279279,0.993504,0.124646,3.14118,0.297582,
3.39329,1.57382,-0.277239,0.993467,0.128857,3.14122,0.300378,
3.42582,1.57356,-0.2752,0.993429,0.133072,3.14125,0.303172,
3.46091,1.5733,-0.273161,0.993391,0.13729,3.14129,0.305962,
3.50481,1.57304,-0.271123,0.99335,0.14151,3.14133,0.308748,
3.54039,1.57278,-0.269085,0.993309,0.145731,3.14136,0.311529,
3.57554,1.57252,-0.267046,0.993267,0.149951,3.1414,0.314304,
3.61827,1.57226,-0.265008,0.993223,0.15417,3.14143,0.317071,
3.65367,1.572,-0.26297,0.993178,0.158387,3.14147,0.31983,
3.69121,1.57173,-0.260932,0.993132,0.162599,3.14151,0.322579,
3.73969,1.57147,-0.258894,0.993085,0.166807,3.14154,0.325317,
3.77696,1.5712,-0.256856,0.993036,0.171007,3.14158,0.328043,
3.81141,1.57094,-0.254819,0.992986,0.1752,-3.14157,0.330757,
3.85274,1.57067,-0.252781,0.992936,0.179384,-3.14153,0.333456,
3.88729,1.5704,-0.250744,0.992883,0.183558,-3.1415,0.336141,
3.91546,1.57014,-0.248706,0.99283,0.18772,-3.14146,0.338809,
3.94537,1.56987,-0.246669,0.992776,0.191868,-3.14143,0.34146,
3.9834,1.5696,-0.244632,0.99272,0.196003,-3.14139,0.344093,
4.02633,1.56933,-0.242595,0.992664,0.200123,-3.14135,0.346706,
4.066,1.56907,-0.240557,0.992606,0.204225,-3.14132,0.3493,
4.09721,1.5688,-0.23852,0.992547,0.20831,-3.14128,0.351872,
4.12883,1.56853,-0.236483,0.992487,0.212376,-3.14125,0.354422,
4.16613,1.56826,-0.234446,0.992426,0.216421,-3.14121,0.356948,
4.1979,1.56799,-0.232409,0.992364,0.220445,-3.14118,0.35945,
4.23128,1.56773,-0.230371,0.9923,0.224445,-3.14114,0.361927,
4.27219,1.56746,-0.228334,0.992236,0.228421,-3.14111,0.364378,
4.30697,1.56719,-0.226297,0.992171,0.232371,-3.14107,0.366802,
4.34589,1.56692,-0.22426,0.992105,0.236295,-3.14104,0.369197,
4.38526,1.56666,-0.222222,0.992038,0.24019,-3.14101,0.371563,
4.43836,1.56639,-0.220185,0.99197,0.244056,-3.14097,0.3739,
4.48044,1.56613,-0.218148,0.991901,0.247891,-3.14094,0.376205,
4.5117,1.56587,-0.21611,0.991832,0.251695,-3.1409,0.378478,
4.5423,1.5656,-0.214073,0.991761,0.255465,-3.14087,0.380719,
4.56916,1.56534,-0.212036,0.99169,0.259201,-3.14084,0.382927,
4.59983,1.56508,-0.209998,0.991618,0.262902,-3.14081,0.3851,
4.63779,1.56482,-0.207961,0.991546,0.266565,-3.14077,0.387237,
4.66948,1.56456,-0.205923,0.991473,0.27019,-3.14074,0.389338,
4.7032,1.56431,-0.203885,0.991399,0.273778,-3.14071,0.391403,
4.74555,1.56405,-0.201846,0.991325,0.277326,-3.14068,0.393431,
4.77958,1.5638,-0.199807,0.99125,0.280831,-3.14065,0.395419,
4.80507,1.56355,-0.197768,0.991175,0.284295,-3.14062,0.397369,
4.82705,1.5633,-0.195729,0.991099,0.287714,-3.14059,0.399278,
4.85142,1.56305,-0.19369,0.991023,0.291089,-3.14056,0.401146,
4.88276,1.5628,-0.19165,0.990947,0.294417,-3.14053,0.402972,
4.92336,1.56256,-0.189611,0.990871,0.297698,-3.1405,0.404756,
4.95482,1.56232,-0.187571,0.990795,0.30093,-3.14047,0.406496,
4.984,1.56208,-0.185531,0.990718,0.304113,-3.14044,0.408192,
5.0192,1.56184,-0.183491,0.990641,0.307245,-3.14041,0.409843,
5.05331,1.56161,-0.18145,0.990565,0.310326,-3.14039,0.411448,
5.09517,1.56138,-0.179409,0.990488,0.313353,-3.14036,0.413008,
5.12913,1.56115,-0.177368,0.990412,0.316327,-3.14033,0.41452,
5.16801,1.56092,-0.175326,0.990336,0.319247,-3.14031,0.415984,
5.1979,1.5607,-0.173284,0.990261,0.32211,-3.14028,0.417399,
5.22598,1.56048,-0.171242,0.990185,0.324915,-3.14026,0.418765,
5.25895,1.56026,-0.169199,0.990111,0.327662,-3.14023,0.42008,
5.28549,1.56005,-0.167156,0.990036,0.33035,-3.14021,0.421345,
5.31,1.55984,-0.165112,0.989963,0.332977,-3.14018,0.422557,
5.33766,1.55963,-0.163068,0.98989,0.335543,-3.14016,0.423717,
5.3617,1.55943,-0.161024,0.989818,0.338046,-3.14014,0.424824,
5.38174,1.55923,-0.158979,0.989747,0.340485,-3.14012,0.425877,
5.40267,1.55904,-0.156934,0.989676,0.34286,-3.1401,0.426874,
5.42743,1.55885,-0.154889,0.989607,0.345169,-3.14007,0.427816,
5.45201,1.55867,-0.152843,0.989539,0.34741,-3.14005,0.4287,
5.47302,1.55849,-0.150796,0.989472,0.349584,-3.14004,0.429528,
5.49579,1.55831,-0.14875,0.989407,0.351688,-3.14002,0.430297,
5.52264,1.55814,-0.146702,0.989343,0.353722,-3.14,0.431007,
5.54466,1.55797,-0.144654,0.98928,0.355684,-3.13998,0.431657,
5.56568,1.55781,-0.142606,0.989219,0.357574,-3.13996,0.432246,
5.58916,1.55765,-0.140557,0.98916,0.359391,-3.13995,0.432772,
5.60831,1.5575,-0.138508,0.989102,0.361132,-3.13993,0.433236,
5.6244,1.55736,-0.136459,0.989046,0.362798,-3.13992,0.433637,
5.64171,1.55722,-0.134409,0.988992,0.364387,-3.1399,0.433972,
5.66295,1.55708,-0.132358,0.98894,0.365897,-3.13989,0.434242,
5.6891,1.55695,-0.130308,0.98889,0.367327,-3.13988,0.434444,
5.71331,1.55683,-0.128256,0.988843,0.368678,-3.13986,0.434579,
5.74378,1.55672,-0.126204,0.988797,0.369946,-3.13985,0.434645,
5.7681,1.55661,-0.124152,0.988755,0.371132,-3.13984,0.434641,
5.78736,1.5565,-0.1221,0.988714,0.372233,-3.13983,0.434566,
5.80735,1.55641,-0.120047,0.988676,0.373249,-3.13982,0.434418,
5.82458,1.55631,-0.117993,0.988641,0.374177,-3.13981,0.434197,
5.83988,1.55623,-0.11594,0.988608,0.375018,-3.13981,0.433901,
5.85387,1.55615,-0.113887,0.988578,0.375769,-3.1398,0.433528,
5.86895,1.55609,-0.111833,0.988551,0.376429,-3.13979,0.433079,
5.88589,1.55602,-0.10978,0.988527,0.376997,-3.13979,0.432551,
5.90127,1.55597,-0.107726,0.988506,0.377472,-3.13978,0.431943,
5.91478,1.55592,-0.105673,0.988488,0.377852,-3.13978,0.431254,
5.92697,1.55588,-0.103619,0.988472,0.378136,-3.13978,0.430482,
5.93819,1.55585,-0.101565,0.988461,0.378322,-3.13978,0.429625,
5.94867,1.55583,-0.0995112,0.988452,0.378409,-3.13978,0.428682,
5.95856,1.55581,-0.0974573,0.988447,0.378395,-3.13978,0.427652,
5.968,1.5558,-0.0954033,0.988445,0.37828,-3.13978,0.426533,
5.97725,1.5558,-0.0933492,0.988446,0.37806,-3.13978,0.425323,
5.98652,1.55581,-0.091295,0.988451,0.377736,-3.13978,0.42402,
5.99588,1.55583,-0.0892407,0.988459,0.377304,-3.13979,0.422623,
6.00532,1.55585,-0.0871864,0.988471,0.376764,-3.13979,0.421129,
6.01493,1.55589,-0.0851319,0.988486,0.376113,-3.1398,0.419537,
6.02463,1.55593,-0.0830774,0.988505,0.37535,-3.1398,0.417844,
6.03457,1.55599,-0.0810228,0.988527,0.374473,-3.13981,0.416048,
6.04461,1.55605,-0.0789681,0.988553,0.373481,-3.13982,0.414148,
6.05496,1.55612,-0.0769143,0.988583,0.372371,-3.13983,0.412142,
6.06541,1.5562,-0.0748603,0.988616,0.371142,-3.13984,0.410026,
6.07614,1.55629,-0.0728071,0.988652,0.369791,-3.13985,0.4078,
6.08693,1.55638,-0.0707545,0.988693,0.368318,-3.13987,0.40546,
6.09795,1.55649,-0.0687022,0.988736,0.36672,-3.13988,0.403004,
6.10905,1.55661,-0.0666506,0.988783,0.364994,-3.1399,0.40043,
6.1207,1.55674,-0.0645996,0.988834,0.36314,-3.13991,0.397735,
6.13343,1.55687,-0.0625493,0.988888,0.361155,-3.13993,0.394916,
6.14763,1.55702,-0.0604999,0.988945,0.359036,-3.13995,0.391971,
6.1639,1.55717,-0.0584513,0.989006,0.356783,-3.13997,0.388897,
6.18341,1.55734,-0.0564035,0.98907,0.354392,-3.13999,0.385692,
6.20664,1.55751,-0.0543566,0.989137,0.351862,-3.14001,0.382351,
6.22854,1.5577,-0.0523106,0.989207,0.34919,-3.14004,0.378873,
6.25335,1.55789,-0.0502658,0.98928,0.346374,-3.14006,0.375253,
6.28506,1.5581,-0.0482219,0.989356,0.343412,-3.14009,0.37149,
6.31249,1.55831,-0.046179,0.989435,0.340302,-3.14012,0.367579,
6.3372,1.55854,-0.0441375,0.989517,0.337042,-3.14015,0.363518,
6.35973,1.55877,-0.0420973,0.989601,0.333628,-3.14018,0.359304,
6.38428,1.55902,-0.0400581,0.989687,0.330059,-3.14021,0.354932,
6.41384,1.55927,-0.0380205,0.989776,0.326333,-3.14024,0.350399,
6.44188,1.55954,-0.0359842,0.989867,0.322448,-3.14028,0.345703,
6.46699,1.55981,-0.033949,0.98996,0.3184,-3.14031,0.340838,
6.49437,1.56009,-0.0319155,0.990055,0.314187,-3.14035,0.335802,
6.52712,1.56039,-0.0298834,0.990151,0.309808,-3.14039,0.33059,
6.55617,1.56069,-0.0278525,0.99025,0.30526,-3.14043,0.325199,
6.5815,1.561,-0.0258235,0.990349,0.300541,-3.14047,0.319627,
6.60496,1.56133,-0.0237959,0.99045,0.295648,-3.14052,0.313868,
6.6298,1.56166,-0.02177,0.990552,0.290579,-3.14056,0.30792,
6.65986,1.562,-0.0197461,0.990654,0.285334,-3.14061,0.301778,
6.69634,1.56235,-0.0177234,0.990757,0.279908,-3.14066,0.295438,
6.72948,1.56271,-0.0157026,0.990861,0.2743,-3.14071,0.288898,
6.76304,1.56308,-0.0136831,0.990965,0.268507,-3.14076,0.282151,
6.80229,1.56346,-0.0116655,0.991069,0.262529,-3.14081,0.275197,
6.83776,1.56385,-0.00964954,0.991172,0.256362,-3.14086,0.268031,
6.87132,1.56425,-0.00763549,0.991275,0.250007,-3.14092,0.260651,
6.90219,1.56466,-0.00562303,0.991378,0.24346,-3.14098,0.253052,
6.93386,1.56507,-0.00361254,0.991479,0.236721,-3.14104,0.245232,
6.97123,1.56549,-0.00160355,0.99158,0.229787,-3.1411,0.237188,
7.01527,1.56593,0.0004036,0.991679,0.222658,-3.14116,0.228917,
7.07071,1.56637,0.0024093,0.991776,0.215332,-3.14122,0.220416,
7.11796,1.56682,0.00441294,0.991872,0.20781,-3.14129,0.211685,
7.16734,1.56727,0.00641495,0.991965,0.20009,-3.14136,0.202721,
7.23055,1.56774,0.00841493,0.992056,0.192173,-3.14142,0.193525,
7.28219,1.56821,0.0104132,0.992145,0.184057,-3.14149,0.184093,
7.3331,1.56869,0.0124095,0.992231,0.175744,-3.14157,0.174428,
7.39663,1.56918,0.0144044,0.992313,0.167232,3.14155,0.164525,
7.45255,1.56967,0.016398,0.992393,0.15852,3.14147,0.154386,
7.51857,1.57018,0.0183896,0.992469,0.149614,3.14139,0.144015,
7.57228,1.57069,0.0203797,0.992541,0.140512,3.14132,0.133411,
7.6236,1.5712,0.0223681,0.992609,0.131216,3.14124,0.122578,
7.68526,1.57173,0.024355,0.992672,0.121728,3.14116,0.111518,
7.74029,1.57226,0.0263402,0.992731,0.11205,3.14107,0.100235,
7.80192,1.57279,0.0283244,0.992786,0.102184,3.14099,0.0887323,
7.85463,1.57333,0.0303061,0.992835,0.0921377,3.14091,0.0770217,
7.90885,1.57388,0.0322869,0.992879,0.0819085,3.14082,0.0651017,
7.9759,1.57443,0.0342662,0.992918,0.0715034,3.14073,0.052983,
8.03722,1.57499,0.0362439,0.992951,0.0609266,3.14064,0.0406735,
