t,j1,j2,j3,j4,j5,j6
0,-0.292032,0.33163,0.389869,-0.190021,0.8139,-3.7072e-05
0.0642652,-0.290852,0.331139,0.390538,-0.190064,0.813897,-3.70721e-05
0.093089,-0.289677,0.33065,0.391203,-0.190042,0.813902,-3.70722e-05
0.132668,-0.288507,0.330162,0.391864,-0.189957,0.813917,-3.70724e-05
0.159696,-0.287341,0.329676,0.392522,-0.189807,0.813942,-3.70727e-05
0.18607,-0.286181,0.32919,0.393176,-0.189594,0.813975,-3.70731e-05
0.222834,-0.285025,0.328706,0.393826,-0.189316,0.814017,-3.70737e-05
0.250696,-0.283874,0.328224,0.394473,-0.188974,0.814068,-3.70744e-05
0.282935,-0.282728,0.327742,0.395116,-0.188569,0.814127,-3.70752e-05
0.30773,-0.281587,0.327262,0.395755,-0.188099,0.814195,-3.70761e-05
0.332826,-0.280451,0.326783,0.396392,-0.187564,0.814271,-3.70772e-05
0.352411,-0.27932,0.326306,0.397024,-0.186966,0.814356,-3.70784e-05
0.368695,-0.278194,0.325829,0.397653,-0.186304,0.814448,-3.70797e-05
0.382801,-0.277073,0.325354,0.398279,-0.185577,0.814549,-3.70812e-05
0.396678,-0.275957,0.324879,0.398902,-0.184786,0.814657,-3.70828e-05
0.412574,-0.274846,0.324406,0.399521,-0.183931,0.814773,-3.70845e-05
0.430861,-0.27374,0.323934,0.400137,-0.183012,0.814896,-3.70863e-05
0.447291,-0.272639,0.323463,0.40075,-0.182028,0.815028,-3.70883e-05
0.464477,-0.271543,0.322993,0.401359,-0.180981,0.815166,-3.70904e-05
0.484223,-0.270451,0.322525,0.401966,-0.179869,0.815312,-3.70926e-05
0.501561,-0.269366,0.322057,0.402569,-0.178694,0.815466,-3.7095e-05
0.51927,-0.268285,0.32159,0.403169,-0.177454,0.815627,-3.70974e-05
0.539691,-0.267209,0.321125,0.403767,-0.17615,0.815795,-3.71e-05
0.557398,-0.266138,0.32066,0.404361,-0.174782,0.81597,-3.71028e-05
0.575233,-0.265073,0.320197,0.404953,-0.173351,0.816152,-3.71056e-05
0.595808,-0.264012,0.319735,0.405541,-0.171855,0.816342,-3.71086e-05
