t,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,
0,1.45574,0.886733,1.07574,0.824445,-2.83773,0.277614,
0.085852,1.45741,0.883645,1.07566,0.824306,-2.84017,0.278806,
0.120523,1.45907,0.880548,1.07557,0.824448,-2.84262,0.280273,
0.147319,1.46071,0.877443,1.07546,0.824831,-2.84505,0.281977,
0.17849,1.46233,0.87433,1.07534,0.825425,-2.84749,0.283889,
0.221248,1.46393,0.871208,1.07522,0.826203,-2.84992,0.285984,
0.253009,1.46552,0.868078,1.07508,0.827138,-2.85236,0.288239,
0.278872,1.46709,0.864939,1.07493,0.828208,-2.85481,0.290633,
0.301003,1.46864,0.861793,1.07476,0.829393,-2.85727,0.293148,
0.324572,1.47018,0.858639,1.07459,0.830673,-2.85974,0.295766,
0.351867,1.4717,0.855477,1.0744,0.832031,-2.86223,0.298471,
0.376417,1.4732,0.852307,1.0742,0.833454,-2.86473,0.301251,
0.403944,1.47468,0.84913,1.07399,0.834927,-2.86724,0.304094,
0.438211,1.47614,0.845945,1.07377,0.836438,-2.86976,0.306987,
0.467939,1.47759,0.842753,1.07354,0.837978,-2.8723,0.309923,
0.501079,1.47902,0.839553,1.0733,0.839538,-2.87486,0.312892,
0.529815,1.48043,0.836347,1.07304,0.841109,-2.87742,0.315888,
0.561129,1.48182,0.833133,1.07277,0.842685,-2.88,0.318905,
0.587809,1.48319,0.829913,1.07249,0.844261,-2.88259,0.321937,
0.615912,1.48455,0.826685,1.0722,0.845831,-2.88519,0.324981,
0.650342,1.48589,0.823451,1.0719,0.847393,-2.8878,0.328033,
0.679111,1.48721,0.820211,1.07159,0.848942,-2.89042,0.331089,
0.709693,1.48851,0.816964,1.07126,0.850477,-2.89304,0.334149,
0.749291,1.48979,0.813712,1.07093,0.851995,-2.89568,0.337209,
0.779361,1.49105,0.810453,1.07058,0.853496,-2.89831,0.340268,
0.802986,1.49229,0.807188,1.07022,0.854977,-2.90096,0.343326,
0.8267,1.49352,0.803917,1.06985,0.856439,-2.90361,0.346382,
0.857199,1.49473,0.80064,1.06947,0.857881,-2.90626,0.349436,
0.899182,1.49591,0.797358,1.06907,0.859302,-2.90891,0.352487,
0.930695,1.49708,0.794071,1.06867,0.860705,-2.91157,0.355536,
0.959257,1.49823,0.790778,1.06825,0.862087,-2.91423,0.358583,
0.993023,1.49936,0.787481,1.06782,0.863451,-2.91689,0.361627,
1.01979,1.50048,0.784178,1.06738,0.864795,-2.91955,0.36467,
1.04192,1.50157,0.78087,1.06693,0.866122,-2.92221,0.367711,
1.06541,1.50264,0.777558,1.06647,0.867431,-2.92487,0.370752,
1.09252,1.5037,0.774241,1.066,0.868723,-2.92753,0.373792,
1.11688,1.50474,0.77092,1.06552,0.869999,-2.93018,0.376832,
1.14424,1.50575,0.767595,1.06503,0.871258,-2.93284,0.379873,
1.17825,1.50675,0.764265,1.06452,0.872503,-2.93549,0.382915,
1.20677,1.50773,0.760932,1.06401,0.873732,-2.93814,0.385957,
1.23742,1.50869,0.757595,1.06348,0.874947,-2.94079,0.389001,
1.27717,1.50963,0.754254,1.06294,0.876149,-2.94343,0.392047,
1.30766,1.51056,0.750909,1.0624,0.877336,-2.94607,0.395094,
1.33553,1.51146,0.747561,1.06184,0.87851,-2.94871,0.398143,
1.36826,1.51235,0.74421,1.06127,0.87967,-2.95134,0.401194,
1.39491,1.51321,0.740856,1.06069,0.880817,-2.95396,0.404247,
1.4188,1.51406,0.737498,1.0601,0.881951,-2.95659,0.407302,
1.4487,1.51489,0.734138,1.05951,0.883072,-2.9592,0.410358,
1.48943,1.5157,0.730775,1.0589,0.884179,-2.96181,0.413415,
1.5193,1.51649,0.72741,1.05828,0.885274,-2.96441,0.416474,
1.54188,1.51726,0.724042,1.05765,0.886355,-2.967,0.419533,
1.56158,1.51802,0.720671,1.05701,0.887422,-2.96959,0.422593,
1.58284,1.51876,0.717299,1.05636,0.888475,-2.97217,0.425653,
1.60764,1.51947,0.713924,1.0557,0.889514,-2.97474,0.428713,
1.63211,1.52017,0.710548,1.05504,0.890539,-2.9773,0.431772,
1.65347,1.52085,0.707169,1.05436,0.89155,-2.97985,0.43483,
1.67586,1.52152,0.703789,1.05367,0.892545,-2.9824,0.437887,
1.70222,1.52216,0.700407,1.05298,0.893525,-2.98493,0.440941,
1.72967,1.52279,0.697024,1.05227,0.89449,-2.98745,0.443993,
1.76194,1.5234,0.69364,1.05156,0.895439,-2.98996,0.447042,
1.78934,1.52399,0.690254,1.05084,0.896372,-2.99246,0.450088,
1.81853,1.52456,0.686867,1.0501,0.897289,-2.99494,0.45313,
1.85568,1.52512,0.683479,1.04936,0.89819,-2.99741,0.456168,
1.88793,1.52566,0.680091,1.04861,0.899074,-2.99987,0.459201,
1.92646,1.52618,0.676701,1.04785,0.899941,-3.00232,0.46223,
1.95653,1.52668,0.673311,1.04709,0.900791,-3.00475,0.465253,
1.985,1.52717,0.66992,1.04631,0.901624,-3.00717,0.468271,
2.01919,1.52764,0.666529,1.04553,0.90244,-3.00957,0.471283,
2.04604,1.52809,0.663137,1.04474,0.903239,-3.01196,0.474289,
2.06832,1.52853,0.659745,1.04394,0.904021,-3.01434,0.477288,
2.0932,1.52895,0.656353,1.04313,0.904785,-3.0167,0.480282,
2.12308,1.52935,0.65296,1.04231,0.905532,-3.01904,0.483268,
2.14952,1.52973,0.649568,1.04149,0.906263,-3.02137,0.486248,
2.18169,1.5301,0.646176,1.04066,0.906977,-3.02368,0.489222,
2.22791,1.53045,0.642783,1.03982,0.907674,-3.02597,0.492188,
2.26241,1.53079,0.639391,1.03897,0.908354,-3.02825,0.495148,
2.2948,1.53111,0.636,1.03812,0.909018,-3.03051,0.498101,
2.32028,1.53142,0.632609,1.03726,0.909667,-3.03276,0.501047,
2.34201,1.5317,0.629218,1.03639,0.9103,-3.03499,0.503987,
2.36097,1.53198,0.625828,1.03551,0.910917,-3.0372,0.50692,
2.37962,1.53223,0.622438,1.03463,0.91152,-3.03939,0.509847,
2.40097,1.53248,0.619049,1.03374,0.912108,-3.04157,0.512767,
2.42799,1.5327,0.615661,1.03284,0.912682,-3.04373,0.515682,
2.46244,1.53291,0.612273,1.03194,0.913243,-3.04587,0.518591,
2.4918,1.53311,0.608887,1.03103,0.91379,-3.048,0.521494,
2.52302,1.53329,0.605501,1.03011,0.914324,-3.05011,0.524392,
2.54987,1.53346,0.602116,1.02919,0.914847,-3.0522,0.527285,
2.57791,1.53361,0.598733,1.02826,0.915357,-3.05428,0.530173,
2.60214,1.53375,0.59535,1.02732,0.915856,-3.05634,0.533056,
2.62729,1.53387,0.591969,1.02638,0.916344,-3.05838,0.535935,
2.65908,1.53398,0.588589,1.02544,0.916822,-3.06041,0.53881,
2.69622,1.53408,0.58521,1.02448,0.91729,-3.06242,0.541682,
2.75229,1.53416,0.581832,1.02352,0.917749,-3.06442,0.54455,
2.79117,1.53422,0.578456,1.02256,0.918199,-3.0664,0.547415,
2.83126,1.53428,0.575081,1.02159,0.918641,-3.06836,0.550277,
2.86282,1.53432,0.571707,1.02061,0.919075,-3.07031,0.553136,
2.8974,1.53434,0.568335,1.01963,0.919501,-3.07224,0.555993,
2.92537,1.53436,0.564964,1.01864,0.919921,-3.07416,0.558848,
2.95352,1.53436,0.561595,1.01765,0.920334,-3.07606,0.561701,
2.98792,1.53434,0.558228,1.01665,0.920741,-3.07795,0.564553,
3.01682,1.53432,0.554862,1.01565,0.921143,-3.07982,0.567403,
3.05004,1.53428,0.551498,1.01464,0.921539,-3.08168,0.570252,
3.09783,1.53423,0.548135,1.01363,0.921931,-3.08352,0.5731,
3.13234,1.53417,0.544774,1.01261,0.922318,-3.08535,0.575947,
3.16282,1.53409,0.541415,1.01159,0.922702,-3.08716,0.578794,
3.18836,1.534,0.538057,1.01057,0.923081,-3.08897,0.58164,
3.2153,1.53391,0.534701,1.00954,0.923458,-3.09075,0.584485,
3.23881,1.53379,0.531347,1.0085,0.923831,-3.09252,0.587331,
3.2629,1.53367,0.527994,1.00746,0.924201,-3.09428,0.590176,
3.29425,1.53354,0.524644,1.00642,0.924569,-3.09603,0.593022,
3.33408,1.53339,0.521295,1.00537,0.924935,-3.09776,0.595867,
3.3638,1.53323,0.517948,1.00432,0.925299,-3.09948,0.598713,
3.38832,1.53306,0.514602,1.00326,0.925661,-3.10119,0.601558,
3.41534,1.53289,0.511259,1.0022,0.926022,-3.10288,0.604404,
3.43852,1.5327,0.507917,1.00114,0.926381,-3.10456,0.60725,
3.45983,1.53249,0.504578,1.00007,0.92674,-3.10623,0.610096,
3.48514,1.53228,0.50124,0.999001,0.927097,-3.10788,0.612942,
3.5161,1.53206,0.497903,0.997927,0.927453,-3.10952,0.615788,
3.54205,1.53183,0.494569,0.996849,0.927809,-3.11115,0.618635,
3.56708,1.53159,0.491237,0.995767,0.928164,-3.11276,0.621481,
3.59589,1.53133,0.487906,0.994683,0.928519,-3.11437,0.624327,
3.62038,1.53107,0.484577,0.993595,0.928873,-3.11596,0.627174,
3.6434,1.5308,0.48125,0.992504,0.929227,-3.11754,0.63002,
3.67209,1.53052,0.477925,0.991409,0.929581,-3.1191,0.632865,
3.70951,1.53023,0.474601,0.990312,0.929935,-3.12066,0.635711,
3.73825,1.52993,0.47128,0.989212,0.930289,-3.1222,0.638555,
3.76337,1.52962,0.46796,0.988109,0.930643,-3.12373,0.6414,
3.79619,1.5293,0.464642,0.987004,0.930997,-3.12524,0.644243,
3.84604,1.52897,0.461326,0.985895,0.931351,-3.12675,0.647086,
3.88132,1.52863,0.458011,0.984784,0.931705,-3.12824,0.649928,
3.91738,1.52829,0.454699,0.983671,0.93206,-3.12972,0.652768,
3.97054,1.52793,0.451388,0.982555,0.932415,-3.13118,0.655608,
4.00478,1.52757,0.448078,0.981436,0.93277,-3.13264,0.658446,
4.0322,1.5272,0.444771,0.980315,0.933126,-3.13408,0.661283,
4.06437,1.52682,0.441465,0.979192,0.933482,-3.13551,0.664118,
4.09532,1.52643,0.438161,0.978067,0.933838,-3.13693,0.666951,
4.13271,1.52603,0.434858,0.97694,0.934195,-3.13834,0.669783,
4.16357,1.52563,0.431558,0.97581,0.934552,-3.13973,0.672612,
4.19506,1.52522,0.428258,0.974679,0.93491,-3.14111,0.675439,
4.22068,1.5248,0.424961,0.973546,0.935268,3.1407,0.678264,
4.24481,1.52438,0.421665,0.972411,0.935627,3.13935,0.681087,
4.27202,1.52394,0.41837,0.971274,0.935987,3.138,0.683907,
4.29517,1.5235,0.415077,0.970135,0.936347,3.13667,0.686724,
4.31505,1.52305,0.411786,0.968995,0.936708,3.13535,0.689539,
4.33567,1.5226,0.408496,0.967853,0.93707,3.13404,0.69235,
4.35862,1.52214,0.405208,0.96671,0.937432,3.13274,0.695159,
4.37997,1.52167,0.401921,0.965565,0.937795,3.13146,0.697964,
