t,j1,j2,j3,j4,j5,j6
0,0.457737,0.349238,0.352501,1.01903,1.1044,1.32996e-06
0.085852,0.455735,0.348961,0.352844,1.01878,1.10328,1.32996e-06
0.120523,0.453712,0.348685,0.353236,1.01884,1.10223,1.32997e-06
0.147319,0.451672,0.348412,0.353671,1.01915,1.10123,1.32997e-06
0.17849,0.449617,0.348139,0.354147,1.01971,1.10028,1.32998e-06
0.221248,0.447549,0.347867,0.354661,1.02047,1.09937,1.33e-06
0.253009,0.445469,0.347594,0.355211,1.02141,1.09849,1.33001e-06
0.278872,0.44338,0.347318,0.355795,1.02251,1.09763,1.33004e-06
0.301003,0.441283,0.34704,0.356411,1.02374,1.0968,1.33006e-06
0.324572,0.439179,0.346759,0.357058,1.0251,1.09597,1.33009e-06
0.351867,0.437069,0.346474,0.357733,1.02656,1.09515,1.33012e-06
0.376417,0.434954,0.346185,0.358435,1.0281,1.09433,1.33016e-06
0.403944,0.432837,0.345892,0.359163,1.02971,1.09351,1.3302e-06
0.438211,0.430716,0.345594,0.359915,1.03139,1.09269,1.33024e-06
0.467939,0.428593,0.345291,0.360691,1.03311,1.09187,1.3303e-06
0.501079,0.426469,0.344984,0.361488,1.03488,1.09104,1.33036e-06
0.529815,0.424345,0.344671,0.362307,1.03668,1.0902,1.33043e-06
0.561129,0.42222,0.344354,0.363145,1.0385,1.08935,1.33051e-06
0.587809,0.420095,0.344031,0.364004,1.04034,1.08849,1.3306e-06
0.615912,0.41797,0.343704,0.364881,1.04219,1.08763,1.33069e-06
0.650342,0.415846,0.343371,0.365776,1.04405,1.08675,1.3308e-06
0.679111,0.413723,0.343034,0.366689,1.04592,1.08586,1.33091e-06
0.709693,0.411602,0.342692,0.36762,1.04778,1.08496,1.33102e-06
0.749291,0.409481,0.342345,0.368567,1.04965,1.08406,1.33114e-06
0.779361,0.407362,0.341994,0.36953,1.05152,1.08314,1.33127e-06
0.802986,0.405244,0.341639,0.37051,1.05338,1.08222,1.3314e-06
0.8267,0.403128,0.341279,0.371506,1.05524,1.08128,1.33153e-06
0.857199,0.401014,0.340914,0.372517,1.0571,1.08034,1.33167e-06
0.899182,0.398901,0.340546,0.373544,1.05895,1.07939,1.33181e-06
0.930695,0.396789,0.340174,0.374586,1.06079,1.07844,1.33195e-06
0.959257,0.394679,0.339797,0.375644,1.06263,1.07748,1.3321e-06
0.993023,0.392571,0.339417,0.376717,1.06447,1.07651,1.33226e-06
1.01979,0.390465,0.339033,0.377804,1.0663,1.07554,1.33241e-06
1.04192,0.388359,0.338646,0.378906,1.06812,1.07456,1.33257e-06
1.06541,0.386256,0.338256,0.380023,1.06995,1.07358,1.33274e-06
1.09252,0.384154,0.337861,0.381155,1.07176,1.0726,1.3329e-06
1.11688,0.382053,0.337464,0.382301,1.07358,1.07162,1.33307e-06
1.14424,0.379954,0.337064,0.383462,1.07539,1.07063,1.33325e-06
1.17825,0.377856,0.33666,0.384637,1.0772,1.06964,1.33343e-06
1.20677,0.37576,0.336254,0.385826,1.07901,1.06865,1.33361e-06
1.23742,0.373665,0.335845,0.387029,1.08082,1.06766,1.33379e-06
1.27717,0.371571,0.335433,0.388245,1.08262,1.06667,1.33398e-06
1.30766,0.369479,0.335019,0.389476,1.08442,1.06568,1.33418e-06
1.33553,0.367388,0.334602,0.39072,1.08622,1.0647,1.33437e-06
1.36826,0.365299,0.334182,0.391977,1.08802,1.06371,1.33457e-06
1.39491,0.363211,0.333761,0.393248,1.08982,1.06272,1.33477e-06
1.4188,0.361125,0.333337,0.394531,1.09162,1.06174,1.33498e-06
1.4487,0.359039,0.332911,0.395828,1.09341,1.06076,1.33519e-06
1.48943,0.356956,0.332483,0.397136,1.0952,1.05978,1.3354e-06
1.5193,0.354873,0.332053,0.398457,1.09699,1.05881,1.33562e-06
1.54188,0.352793,0.331622,0.399791,1.09877,1.05784,1.33584e-06
1.56158,0.350713,0.331188,0.401135,1.10055,1.05687,1.33607e-06
1.58284,0.348635,0.330754,0.402492,1.10233,1.05591,1.33629e-06
1.60764,0.346559,0.330317,0.40386,1.1041,1.05495,1.33652e-06
1.63211,0.344484,0.32988,0.405238,1.10586,1.054,1.33676e-06
1.65347,0.342411,0.329441,0.406628,1.10762,1.05305,1.337e-06
1.67586,0.340339,0.329001,0.408028,1.10937,1.05211,1.33724e-06
1.70222,0.338269,0.32856,0.409438,1.11111,1.05117,1.33748e-06
1.72967,0.3362,0.328118,0.410858,1.11284,1.05024,1.33773e-06
1.76194,0.334133,0.327675,0.412287,1.11457,1.04931,1.33799e-06
1.78934,0.332067,0.327232,0.413726,1.11628,1.04839,1.33824e-06
1.81853,0.330003,0.326788,0.415174,1.11799,1.04748,1.3385e-06
1.85568,0.327941,0.326343,0.416631,1.11968,1.04658,1.33877e-06
1.88793,0.325881,0.325898,0.418096,1.12136,1.04568,1.33903e-06
1.92646,0.323822,0.325453,0.41957,1.12303,1.04479,1.3393e-06
1.95653,0.321764,0.325007,0.421052,1.12469,1.0439,1.33958e-06
1.985,0.319709,0.324562,0.422541,1.12633,1.04303,1.33985e-06
2.01919,0.317655,0.324116,0.424038,1.12796,1.04216,1.34013e-06
2.04604,0.315602,0.32367,0.425542,1.12958,1.0413,1.34042e-06
2.06832,0.313552,0.323225,0.427053,1.13118,1.04045,1.34071e-06
2.0932,0.311502,0.32278,0.428571,1.13277,1.0396,1.341e-06
2.12308,0.309455,0.322335,0.430096,1.13434,1.03877,1.34129e-06
2.14952,0.307409,0.321891,0.431627,1.13589,1.03794,1.34159e-06
2.18169,0.305364,0.321447,0.433164,1.13743,1.03712,1.34189e-06
2.22791,0.303321,0.321004,0.434707,1.13896,1.03632,1.3422e-06
2.26241,0.301279,0.320561,0.436255,1.14047,1.03552,1.34251e-06
2.2948,0.299239,0.32012,0.43781,1.14196,1.03473,1.34282e-06
2.32028,0.297201,0.319679,0.43937,1.14344,1.03395,1.34314e-06
2.34201,0.295163,0.319239,0.440935,1.1449,1.03318,1.34346e-06
2.36097,0.293127,0.3188,0.442505,1.14635,1.03242,1.34378e-06
2.37962,0.291093,0.318362,0.44408,1.14778,1.03167,1.34411e-06
2.40097,0.289059,0.317926,0.44566,1.1492,1.03092,1.34444e-06
2.42799,0.287027,0.317491,0.447244,1.1506,1.03019,1.34477e-06
2.46244,0.284996,0.317057,0.448833,1.15198,1.02947,1.34511e-06
2.4918,0.282966,0.316624,0.450427,1.15336,1.02876,1.34545e-06
2.52302,0.280937,0.316193,0.452024,1.15472,1.02806,1.34579e-06
2.54987,0.278909,0.315764,0.453626,1.15606,1.02737,1.34614e-06
2.57791,0.276882,0.315336,0.455232,1.15739,1.0267,1.34649e-06
2.60214,0.274856,0.31491,0.456841,1.15871,1.02603,1.34684e-06
2.62729,0.272831,0.314486,0.458455,1.16002,1.02537,1.34719e-06
2.65908,0.270807,0.314063,0.460072,1.16131,1.02473,1.34754e-06
2.69622,0.268783,0.313643,0.461692,1.1626,1.02409,1.34788e-06
2.75229,0.26676,0.313224,0.463316,1.16387,1.02347,1.34823e-06
2.79117,0.264738,0.312807,0.464943,1.16513,1.02285,1.34858e-06
2.83126,0.262716,0.312393,0.466574,1.16638,1.02225,1.34893e-06
2.86282,0.260695,0.311981,0.468207,1.16762,1.02166,1.34927e-06
2.8974,0.258674,0.311571,0.469844,1.16885,1.02108,1.34962e-06
2.92537,0.256653,0.311163,0.471483,1.17007,1.02052,1.34996e-06
2.95352,0.254633,0.310757,0.473125,1.17128,1.01996,1.35032e-06
2.98792,0.252613,0.310354,0.47477,1.17248,1.01942,1.35068e-06
3.01682,0.250594,0.309954,0.476417,1.17368,1.01889,1.35104e-06
3.05004,0.248574,0.309556,0.478067,1.17487,1.01837,1.35141e-06
3.09783,0.246555,0.309161,0.479719,1.17605,1.01786,1.35179e-06
3.13234,0.244536,0.308768,0.481373,1.17722,1.01736,1.35216e-06
3.16282,0.242516,0.308378,0.48303,1.17838,1.01688,1.35254e-06
3.18836,0.240497,0.307991,0.484688,1.17954,1.0164,1.35292e-06
3.2153,0.238478,0.307607,0.486348,1.18069,1.01594,1.3533e-06
3.23881,0.236458,0.307226,0.48801,1.18184,1.01549,1.35369e-06
3.2629,0.234438,0.306848,0.489674,1.18298,1.01506,1.35407e-06
3.29425,0.232418,0.306473,0.491339,1.18411,1.01463,1.35446e-06
3.33408,0.230398,0.306101,0.493005,1.18524,1.01422,1.35485e-06
3.3638,0.228377,0.305732,0.494673,1.18636,1.01382,1.35524e-06
3.38832,0.226356,0.305367,0.496341,1.18748,1.01344,1.35564e-06
3.41534,0.224334,0.305004,0.498011,1.18859,1.01306,1.35604e-06
3.43852,0.222312,0.304646,0.499681,1.1897,1.0127,1.35644e-06
3.45983,0.220289,0.30429,0.501353,1.1908,1.01235,1.35685e-06
3.48514,0.218266,0.303939,0.503024,1.19189,1.01201,1.35726e-06
3.5161,0.216242,0.30359,0.504697,1.19298,1.01169,1.35767e-06
3.54205,0.214217,0.303246,0.506369,1.19406,1.01137,1.35808e-06
3.56708,0.212192,0.302905,0.508042,1.19514,1.01107,1.3585e-06
3.59589,0.210165,0.302568,0.509714,1.19622,1.01079,1.35893e-06
3.62038,0.208138,0.302235,0.511387,1.19728,1.01051,1.35936e-06
3.6434,0.206111,0.301906,0.513059,1.19835,1.01025,1.35979e-06
3.67209,0.204082,0.30158,0.514731,1.1994,1.01,1.36022e-06
3.70951,0.202052,0.301259,0.516402,1.20045,1.00977,1.36066e-06
3.73825,0.200021,0.300942,0.518072,1.2015,1.00954,1.3611e-06
3.76337,0.197989,0.300629,0.519742,1.20254,1.00933,1.36155e-06
3.79619,0.195957,0.30032,0.52141,1.20357,1.00914,1.36199e-06
3.84604,0.193923,0.300015,0.523078,1.20459,1.00895,1.36245e-06
3.88132,0.191887,0.299715,0.524744,1.20561,1.00878,1.3629e-06
3.91738,0.189851,0.299419,0.526408,1.20663,1.00862,1.36336e-06
3.97054,0.187814,0.299128,0.528071,1.20763,1.00847,1.36382e-06
4.00478,0.185775,0.298841,0.529733,1.20863,1.00834,1.36429e-06
4.0322,0.183734,0.298559,0.531392,1.20962,1.00822,1.36476e-06
4.06437,0.181693,0.298281,0.533049,1.21061,1.00811,1.36523e-06
4.09532,0.17965,0.298008,0.534705,1.21159,1.00802,1.36571e-06
4.13271,0.177605,0.29774,0.536357,1.21256,1.00794,1.36619e-06
4.16357,0.17556,0.297477,0.538008,1.21352,1.00787,1.36667e-06
4.19506,0.173512,0.297218,0.539656,1.21448,1.00781,1.36716e-06
