t,j1,j2,j3,j4,j5,j6
0,0.214295,0.679377,-0.216066,1.05918,1.23545,-0.0225428
0.616873,0.207281,0.631262,-0.105069,1.106,1.14557,-0.0225425
0.82725,0.200739,0.587384,-0.00382091,1.15844,1.06252,-0.0225422
0.988323,0.193769,0.547941,0.0873251,1.21455,0.989227,-0.022542
1.11388,0.185197,0.51301,0.168104,1.27137,0.928554,-0.0225419
1.2259,0.173892,0.482301,0.238661,1.32508,0.882353,-0.0225418
1.33312,0.158923,0.455316,0.29938,1.37137,0.851346,-0.0225418
1.43899,0.139983,0.43127,0.351295,1.40722,0.834209,-0.0225418
1.54091,0.11669,0.409889,0.39475,1.42975,0.830159,-0.0225418
1.64412,0.0895628,0.390632,0.430902,1.43921,0.836291,-0.0225416
1.75738,0.0585574,0.374012,0.460977,1.43762,0.850736,-0.0225413
1.88141,0.0225202,0.361888,0.483529,1.42296,0.875078,-0.0225411
1.98864,-0.0160297,0.352291,0.49712,1.39467,0.906761,-0.0225408
2.09343,-0.0558774,0.345148,0.504042,1.35897,0.942337,-0.0225405
2.21823,-0.0958329,0.340084,0.506953,1.32154,0.977737,-0.0225403
2.34548,-0.13732,0.339573,0.500114,1.27538,1.02106,-0.02254
2.45272,-0.17854,0.342691,0.487969,1.22841,1.06531,-0.0225398
2.56763,-0.220204,0.351998,0.46701,1.17727,1.11409,-0.0225397
2.67677,-0.261042,0.366929,0.438505,1.12468,1.16458,-0.0225397
2.78883,-0.300405,0.387706,0.402321,1.07126,1.21594,-0.0225397
2.90144,-0.337659,0.414336,0.358605,1.01762,1.26696,-0.0225397
3.02368,-0.372213,0.446359,0.308195,0.9647,1.31574,-0.0225398
3.13995,-0.403636,0.482825,0.252718,0.913659,1.35967,-0.02254
3.257,-0.431707,0.522034,0.194974,0.866042,1.39521,-0.0225403
3.3924,-0.456461,0.561526,0.138944,0.823662,1.41797,-0.0225406
3.55688,-0.478211,0.597969,0.0902207,0.78948,1.42398,-0.0225409
3.75544,-0.497358,0.627003,0.0559922,0.765747,1.40442,-0.0225414
3.92443,-0.514053,0.646565,0.0394007,0.754055,1.35906,-0.0225419
4.13079,-0.528186,0.655181,0.0431728,0.756349,1.28683,-0.0225424
4.31741,-0.539327,0.6533,0.0675428,0.775159,1.18901,-0.022543
4.52309,-0.546904,0.644159,0.109052,0.814026,1.07079,-0.0225434
4.84917,-0.550692,0.634347,0.159151,0.876489,0.943664,-0.0225436
5.04083,-0.556431,0.650286,0.181294,0.945589,0.872994,-0.0225431
5.98381,-0.554179,0.657082,0.200448,1.00348,0.769072,-0.0225425
